Planets,Years,Date,Angular Separation (deg),Elongation
Saturn Mars,507, 0507-Aug-14 19:24:00 UTC,1.044,16.613
Saturn Mars,509, 0509-Aug-30 22:02:00 UTC,1.845,24.016
Saturn Mars,511, 0511-Sep-13 01:05:00 UTC,2.406,33.82
Saturn Mars,513, 0513-Sep-21 13:22:00 UTC,2.703,46.215
Saturn Mars,515, 0515-Sep-27 14:26:00 UTC,2.758,61.642
Saturn Mars,517, 0517-Sep-27 13:16:00 UTC,2.712,82.309
Saturn Mars,519, 0519-May-21 20:24:00 UTC,2.579,124.089
Saturn Mars,521, 0521-May-01 11:50:00 UTC,0.558,81.692
Saturn Mars,523, 0523-May-05 07:51:00 UTC,0.364,61.204
Saturn Mars,525, 0525-May-14 12:48:00 UTC,1.135,45.599
Saturn Mars,527, 0527-May-29 13:47:00 UTC,1.63,33.219
Saturn Mars,529, 0529-Jun-17 01:08:00 UTC,1.7,23.918
Saturn Mars,531, 0531-Jul-09 20:34:00 UTC,1.302,17.383
Saturn Mars,533, 0533-Aug-01 22:51:00 UTC,0.551,12.671
Saturn Mars,535, 0535-Aug-24 21:27:00 UTC,0.344,8.338
Saturn Mars,537, 0537-Sep-12 19:28:00 UTC,1.181,3.329
Saturn Mars,539, 0539-Sep-28 22:35:00 UTC,1.826,5.528
Saturn Mars,541, 0541-Oct-10 10:43:00 UTC,2.21,15.002
Saturn Mars,543, 0543-Oct-19 22:19:00 UTC,2.308,26.869
Saturn Mars,545, 0545-Oct-26 00:15:00 UTC,2.114,40.88
Saturn Mars,547, 0547-Oct-31 00:07:00 UTC,1.634,57.23
Saturn Mars,549, 0549-Oct-31 23:27:00 UTC,0.915,77.408
Saturn Mars,551, 0551-Oct-21 17:37:00 UTC,0.44,111.467
Saturn Mars,553, 0553-Jun-10 01:43:00 UTC,0.301,86.999
Saturn Mars,555, 0555-Jun-15 23:33:00 UTC,0.833,66.539
Saturn Mars,557, 0557-Jun-29 06:46:00 UTC,1.399,52.915
Saturn Mars,559, 0559-Jul-18 18:55:00 UTC,1.454,43.452
Saturn Mars,561, 0561-Aug-09 13:08:00 UTC,1.043,37.114
Saturn Mars,563, 0563-Sep-02 02:50:00 UTC,0.322,32.5
Saturn Mars,565, 0565-Sep-23 01:54:00 UTC,0.494,27.924
Saturn Mars,567, 0567-Oct-11 20:40:00 UTC,1.225,21.995
Saturn Mars,569, 0569-Oct-26 00:12:00 UTC,1.751,14.065
Saturn Mars,571, 0571-Nov-06 20:36:00 UTC,2.013,4.297
Saturn Mars,573, 0573-Nov-15 03:02:00 UTC,1.984,8.284
Saturn Mars,575, 0575-Nov-22 13:29:00 UTC,1.661,21.722
Saturn Mars,577, 0577-Nov-27 21:23:00 UTC,1.044,36.664
Saturn Mars,579, 0579-Dec-03 16:38:00 UTC,0.147,52.963
Saturn Mars,581, 0581-Dec-07 20:32:00 UTC,0.99,71.215
Saturn Mars,583, 0583-Dec-10 00:39:00 UTC,2.278,94.264
Saturn Mars,585, 0585-Jul-28 15:22:00 UTC,0.088,98.421
Saturn Mars,587, 0587-Aug-04 19:50:00 UTC,1.028,77.377
Saturn Mars,589, 0589-Aug-21 20:19:00 UTC,1.223,66.427
Saturn Mars,591, 0591-Sep-12 20:37:00 UTC,0.872,59.789
Saturn Mars,593, 0593-Oct-04 10:55:00 UTC,0.212,54.917
Saturn Mars,595, 0595-Oct-25 01:10:00 UTC,0.533,49.707
Saturn Mars,597, 0597-Nov-10 06:43:00 UTC,1.186,42.821
Saturn Mars,599, 0599-Nov-24 00:36:00 UTC,1.631,33.877
Saturn Mars,601, 0601-Dec-04 21:17:00 UTC,1.808,23.067
Saturn Mars,603, 0603-Dec-13 14:56:00 UTC,1.695,10.709
Saturn Mars,605, 0605-Dec-20 00:16:00 UTC,1.294,2.966
Saturn Mars,607, 0607-Dec-26 21:32:00 UTC,0.624,17.397
Saturn Mars,610, 0610-Jan-02 03:49:00 UTC,0.276,32.353
Saturn Mars,612, 0612-Jan-10 15:22:00 UTC,1.326,47.397
Saturn Mars,614, 0614-Jan-20 01:19:00 UTC,2.377,62.148
Saturn Mars,616, 0616-Feb-02 01:15:00 UTC,3.189,76.031
Saturn Mars,618, 0618-Feb-17 01:07:00 UTC,3.48,88.298
Saturn Mars,619, 0619-Oct-12 13:59:00 UTC,1.516,106.81
Saturn Mars,619, 0619-Dec-07 10:30:00 UTC,3.848,165.855
Saturn Mars,620, 0620-Mar-06 09:36:00 UTC,3.084,98.887
Saturn Mars,621, 0621-Oct-25 18:27:00 UTC,1.144,92.802
Saturn Mars,622, 0622-Feb-08 06:49:00 UTC,3.615,155.055
Saturn Mars,622, 0622-Mar-22 04:53:00 UTC,2.2,111.799
Saturn Mars,623, 0623-Nov-13 11:41:00 UTC,0.475,84.707
Saturn Mars,625, 0625-Nov-29 13:36:00 UTC,0.301,76.517
Saturn Mars,627, 0627-Dec-13 14:37:00 UTC,0.979,66.773
Saturn Mars,629, 0629-Dec-23 21:45:00 UTC,1.427,55.517
Saturn Mars,632, 0632-Jan-02 03:36:00 UTC,1.582,43.07
Saturn Mars,634, 0634-Jan-09 01:04:00 UTC,1.433,29.718
Saturn Mars,636, 0636-Jan-16 05:05:00 UTC,0.996,15.67
Saturn Mars,638, 0638-Jan-22 09:51:00 UTC,0.311,1.458
Saturn Mars,640, 0640-Jan-30 13:51:00 UTC,0.555,13.244
Saturn Mars,642, 0642-Feb-08 17:44:00 UTC,1.485,27.02
Saturn Mars,644, 0644-Feb-21 23:25:00 UTC,2.288,39.438
Saturn Mars,646, 0646-Mar-10 03:56:00 UTC,2.709,49.657
Saturn Mars,648, 0648-Mar-30 10:19:00 UTC,2.527,57.165
Saturn Mars,650, 0650-Apr-23 07:49:00 UTC,1.716,62.555
Saturn Mars,652, 0652-May-16 01:33:00 UTC,0.481,67.613
Saturn Mars,654, 0654-Jun-05 11:54:00 UTC,0.901,74.65
Saturn Mars,656, 0656-Jun-18 07:21:00 UTC,2.269,86.518
Saturn Mars,658, 0658-Jan-29 03:47:00 UTC,0.339,106.362
Saturn Mars,658, 0658-Apr-23 15:18:00 UTC,1.769,165.804
Saturn Mars,658, 0658-Jun-12 11:07:00 UTC,3.635,116.077
Saturn Mars,660, 0660-Jan-28 20:49:00 UTC,1.088,83.178
Saturn Mars,662, 0662-Feb-01 09:30:00 UTC,1.33,65.823
Saturn Mars,664, 0664-Feb-07 01:11:00 UTC,1.194,49.988
Saturn Mars,666, 0666-Feb-12 07:35:00 UTC,0.748,34.718
Saturn Mars,668, 0668-Feb-19 10:44:00 UTC,0.068,19.816
Saturn Mars,670, 0670-Feb-27 02:44:00 UTC,0.75,5.688
Saturn Mars,672, 0672-Mar-09 06:45:00 UTC,1.56,8.223
Saturn Mars,674, 0674-Mar-23 23:26:00 UTC,2.163,19.57
Saturn Mars,676, 0676-Apr-10 20:30:00 UTC,2.335,28.544
Saturn Mars,678, 0678-May-03 12:00:00 UTC,1.943,34.962
Saturn Mars,680, 0680-May-27 01:42:00 UTC,1.055,39.703
Saturn Mars,682, 0682-Jun-19 20:41:00 UTC,0.099,44.377
Saturn Mars,684, 0684-Jul-09 12:22:00 UTC,1.272,50.589
Saturn Mars,686, 0686-Jul-25 14:09:00 UTC,2.311,59.587
Saturn Mars,688, 0688-Aug-04 01:04:00 UTC,3.207,72.638
Saturn Mars,690, 0690-Aug-05 06:13:00 UTC,4.229,93.818
Saturn Mars,692, 0692-Mar-12 15:40:00 UTC,1.161,97.945
Saturn Mars,694, 0694-Mar-09 20:17:00 UTC,1.043,73.201
Saturn Mars,696, 0696-Mar-12 11:13:00 UTC,0.596,54.769
Saturn Mars,698, 0698-Mar-18 21:55:00 UTC,0.082,38.564
Saturn Mars,700, 0700-Mar-27 20:17:00 UTC,0.861,23.802
