Planets,Years,Date,Angular Separation (deg),Elongation
Jupiter Uranus,1016, 1016-Mar-03 10:35:00 UTC,0.488,54.77
Jupiter Uranus,1029, 1029-Jul-23 18:16:00 UTC,0.266,21.011
Jupiter Uranus,1043, 1043-Sep-24 23:57:00 UTC,0.361,16.543
Jupiter Uranus,1057, 1057-Nov-30 06:09:00 UTC,0.555,18.501
Jupiter Uranus,1071, 1071-Dec-14 18:13:00 UTC,0.056,24.476
Jupiter Uranus,1085, 1085-Mar-25 13:51:00 UTC,0.315,22.796
Jupiter Uranus,1098, 1098-Jul-12 08:10:00 UTC,0.745,72.346
Jupiter Uranus,1098, 1098-Oct-31 05:14:00 UTC,0.939,177.063
Jupiter Uranus,1099, 1099-Feb-08 00:42:00 UTC,0.539,74.537
Jupiter Uranus,1112, 1112-Jul-03 19:33:00 UTC,0.271,6.407
Jupiter Uranus,1126, 1126-Sep-02 03:59:00 UTC,0.329,1.514
Jupiter Uranus,1140, 1140-Nov-10 07:47:00 UTC,0.531,2.658
Jupiter Uranus,1154, 1154-Nov-28 10:49:00 UTC,0.062,37.487
Jupiter Uranus,1168, 1168-Mar-10 11:29:00 UTC,0.282,11.458
Jupiter Uranus,1181, 1181-Jun-20 10:43:00 UTC,0.667,55.183
Jupiter Uranus,1181, 1181-Dec-30 01:00:00 UTC,0.699,111.91
Jupiter Uranus,1195, 1195-Jun-14 13:04:00 UTC,0.274,7.499
Jupiter Uranus,1209, 1209-Aug-09 05:33:00 UTC,0.312,18.445
Jupiter Uranus,1223, 1223-Oct-21 09:39:00 UTC,0.516,13.185
Jupiter Uranus,1237, 1237-May-06 00:57:00 UTC,0.419,123.346
Jupiter Uranus,1237, 1237-Nov-08 02:35:00 UTC,0.063,53.426
Jupiter Uranus,1251, 1251-Feb-24 17:41:00 UTC,0.258,1.52
Jupiter Uranus,1264, 1264-Jun-01 16:21:00 UTC,0.61,41.911
Jupiter Uranus,1278, 1278-May-23 19:19:00 UTC,0.274,22.83
Jupiter Uranus,1292, 1292-Jul-13 20:53:00 UTC,0.316,37.75
Jupiter Uranus,1306, 1306-Sep-28 12:02:00 UTC,0.514,31.345
Jupiter Uranus,1320, 1320-Mar-13 07:05:00 UTC,0.447,74.052
Jupiter Uranus,1320, 1320-Jun-29 05:17:00 UTC,0.259,179.853
Jupiter Uranus,1320, 1320-Oct-15 11:14:00 UTC,0.07,73.455
Jupiter Uranus,1334, 1334-Feb-10 05:20:00 UTC,0.241,9.987
Jupiter Uranus,1347, 1347-May-15 12:28:00 UTC,0.559,28.304
Jupiter Uranus,1361, 1361-May-02 14:47:00 UTC,0.276,38.836
Jupiter Uranus,1374, 1374-Nov-09 05:10:00 UTC,0.164,79.369
Jupiter Uranus,1375, 1375-Jan-29 21:21:00 UTC,0.45,163.46
Jupiter Uranus,1375, 1375-Jun-15 09:13:00 UTC,0.344,60.949
Jupiter Uranus,1389, 1389-Feb-09 09:59:00 UTC,0.855,107.226
Jupiter Uranus,1389, 1389-Sep-02 15:03:00 UTC,0.533,51.127
Jupiter Uranus,1403, 1403-Feb-17 12:09:00 UTC,0.448,53.114
Jupiter Uranus,1403, 1403-Aug-26 12:38:00 UTC,0.176,120.27
Jupiter Uranus,1417, 1417-Jan-25 03:03:00 UTC,0.235,22.713
Jupiter Uranus,1430, 1430-Apr-29 14:04:00 UTC,0.522,16.612
Jupiter Uranus,1443, 1443-Sep-15 18:33:00 UTC,0.685,92.284
Jupiter Uranus,1443, 1443-Nov-11 16:02:00 UTC,0.678,149.757
Jupiter Uranus,1444, 1444-Apr-09 08:15:00 UTC,0.289,57.261
Jupiter Uranus,1457, 1457-Oct-04 19:00:00 UTC,0.07,48.62
Jupiter Uranus,1458, 1458-Apr-05 03:43:00 UTC,0.469,125.213
Jupiter Uranus,1458, 1458-Apr-23 00:18:00 UTC,0.437,107.68
Jupiter Uranus,1471, 1471-Dec-22 20:28:00 UTC,0.669,61.096
Jupiter Uranus,1472, 1472-May-03 14:31:00 UTC,0.916,164.56
Jupiter Uranus,1472, 1472-Jul-30 01:05:00 UTC,0.602,79.913
Jupiter Uranus,1486, 1486-Jan-25 03:18:00 UTC,0.438,34.482
Jupiter Uranus,1500, 1500-Jan-08 19:28:00 UTC,0.235,35.795
Jupiter Uranus,1513, 1513-Apr-13 13:28:00 UTC,0.493,4.802
Jupiter Uranus,1526, 1526-Aug-10 19:52:00 UTC,0.635,61.409
Jupiter Uranus,1526, 1526-Dec-27 10:02:00 UTC,0.546,158.545
Jupiter Uranus,1527, 1527-Mar-08 10:22:00 UTC,0.329,85.709
Jupiter Uranus,1540, 1540-Sep-08 13:16:00 UTC,0.025,27.57
Jupiter Uranus,1554, 1554-Nov-24 09:11:00 UTC,0.581,36.669
