Planets,Years,Date,Angular Separation (deg),Elongation
Jupiter Neptune,1101, 1101-Sep-17 19:56:00 UTC,0.384,42.039
Jupiter Neptune,1102, 1102-Apr-05 19:38:00 UTC,0.972,115.764
Jupiter Neptune,1114, 1114-Sep-17 11:45:00 UTC,0.033,13.981
Jupiter Neptune,1127, 1127-Sep-20 09:05:00 UTC,0.488,10.878
Jupiter Neptune,1140, 1140-Feb-21 15:11:00 UTC,1.996,117.997
Jupiter Neptune,1140, 1140-Sep-19 11:31:00 UTC,0.879,38.205
Jupiter Neptune,1153, 1153-Jan-23 00:58:00 UTC,0.824,59.228
Jupiter Neptune,1153, 1153-Jun-11 15:52:00 UTC,0.914,162.624
Jupiter Neptune,1153, 1153-Sep-03 07:13:00 UTC,1.132,81.5
Jupiter Neptune,1166, 1166-Jan-10 12:13:00 UTC,0.865,19.172
Jupiter Neptune,1178, 1178-Dec-29 03:08:00 UTC,0.698,20.666
Jupiter Neptune,1191, 1191-Apr-26 09:39:00 UTC,0.186,67.751
Jupiter Neptune,1191, 1191-Aug-29 09:14:00 UTC,0.628,171.023
Jupiter Neptune,1191, 1191-Nov-30 04:29:00 UTC,0.435,77.604
Jupiter Neptune,1204, 1204-Mar-29 20:49:00 UTC,0.285,14.432
Jupiter Neptune,1217, 1217-Mar-10 14:35:00 UTC,0.724,32.161
Jupiter Neptune,1229, 1229-Jul-03 22:01:00 UTC,0.809,49.236
Jupiter Neptune,1230, 1230-Jan-08 12:17:00 UTC,1.012,122.263
Jupiter Neptune,1242, 1242-Jun-19 01:20:00 UTC,0.953,7.234
Jupiter Neptune,1255, 1255-Jun-13 02:07:00 UTC,0.85,26.308
Jupiter Neptune,1267, 1267-Oct-23 08:29:00 UTC,0.347,72.301
Jupiter Neptune,1268, 1268-Jan-26 17:36:00 UTC,0.679,169.956
Jupiter Neptune,1268, 1268-Jun-04 14:57:00 UTC,0.561,61.318
Jupiter Neptune,1280, 1280-Oct-13 16:55:00 UTC,0.085,35.833
Jupiter Neptune,1281, 1281-May-09 06:21:00 UTC,1.668,116.518
Jupiter Neptune,1293, 1293-Oct-15 09:52:00 UTC,0.525,9.975
Jupiter Neptune,1306, 1306-Oct-17 09:37:00 UTC,0.887,16.562
Jupiter Neptune,1319, 1319-Mar-16 14:35:00 UTC,0.73,106.101
Jupiter Neptune,1319, 1319-Apr-12 08:48:00 UTC,0.73,132.624
Jupiter Neptune,1319, 1319-Oct-11 01:10:00 UTC,1.108,50.221
Jupiter Neptune,1332, 1332-Feb-07 10:36:00 UTC,0.779,41.369
Jupiter Neptune,1332, 1332-Aug-30 22:39:00 UTC,2.282,119.514
Jupiter Neptune,1345, 1345-Jan-22 23:38:00 UTC,0.585,0.764
Jupiter Neptune,1357, 1357-Jun-23 13:26:00 UTC,0.76,119.582
Jupiter Neptune,1358, 1358-Jan-02 19:39:00 UTC,0.257,48.36
Jupiter Neptune,1370, 1370-Apr-24 16:44:00 UTC,0.32,33.54
Jupiter Neptune,1383, 1383-Apr-06 01:54:00 UTC,0.756,12.229
Jupiter Neptune,1395, 1395-Aug-09 10:27:00 UTC,0.726,78.283
Jupiter Neptune,1395, 1395-Nov-06 12:03:00 UTC,0.698,166.871
Jupiter Neptune,1396, 1396-Mar-13 01:52:00 UTC,1.071,62.622
Jupiter Neptune,1408, 1408-Jul-14 12:41:00 UTC,0.879,25.571
Jupiter Neptune,1421, 1421-Jul-08 17:08:00 UTC,0.746,7.819
Jupiter Neptune,1433, 1433-Dec-09 09:54:00 UTC,1.928,116.273
Jupiter Neptune,1434, 1434-Jul-06 21:47:00 UTC,0.418,37.356
