Planets,Years,Date,Angular Separation (deg),Elongation
Saturn Jupiter ,1862, 1862-May-09 07:02:00 UTC,1.809,117.524
Saturn Jupiter ,1881, 1881-Apr-18 12:45:00 UTC,1.213,3.723
Saturn Jupiter ,1901, 1901-May-05 17:07:00 UTC,3.319,118.175
Saturn Jupiter ,1901, 1901-Nov-28 16:36:00 UTC,0.441,38.224
Saturn Jupiter ,1921, 1921-Sep-10 03:40:00 UTC,0.95,9.915
Saturn Jupiter ,1940, 1940-Aug-07 17:05:00 UTC,1.186,90.569
Saturn Jupiter ,1940, 1940-Oct-19 20:18:00 UTC,1.234,163.606
Saturn Jupiter ,1941, 1941-Feb-15 08:22:00 UTC,1.288,72.86
Saturn Jupiter ,1961, 1961-Feb-18 23:41:00 UTC,0.229,34.903
Saturn Jupiter ,1980, 1980-Dec-31 15:27:00 UTC,1.047,90.639
Saturn Jupiter ,1981, 1981-Mar-04 18:08:00 UTC,1.056,155.85
Saturn Jupiter ,1981, 1981-Jul-24 04:30:00 UTC,1.104,63.767
Saturn Jupiter ,2000, 2000-May-28 14:27:00 UTC,1.148,14.967
Saturn Jupiter ,2020, 2020-Dec-21 18:21:00 UTC,0.102,30.135
Saturn Jupiter ,2040, 2040-Oct-31 10:01:00 UTC,1.131,20.788
Saturn Jupiter ,2059, 2059-Sep-24 08:04:00 UTC,2.75,117.943
Saturn Jupiter ,2060, 2060-Apr-07 23:32:00 UTC,1.123,41.902
Saturn Jupiter ,2080, 2080-Mar-15 01:41:00 UTC,0.1,43.522
Saturn Jupiter ,2080, 2080-Oct-01 20:57:00 UTC,2.962,119.48
Saturn Jupiter ,2100, 2100-Feb-09 09:43:00 UTC,3.599,114.05
Saturn Jupiter ,2100, 2100-Sep-18 22:39:00 UTC,1.215,29.497
Saturn Jupiter ,2119, 2119-Jul-15 21:06:00 UTC,0.951,38.13
Saturn Jupiter ,2120, 2120-Feb-06 04:06:00 UTC,3.259,116.346
Saturn Jupiter ,2140, 2140-Jan-14 16:07:00 UTC,0.242,23.284
Saturn Jupiter ,2159, 2159-Dec-20 23:22:00 UTC,1.197,50.882
Saturn Jupiter ,2160, 2160-Jun-24 07:14:00 UTC,1.429,120.863
Saturn Jupiter ,2179, 2179-May-28 03:19:00 UTC,0.83,16.237
Saturn Jupiter ,2199, 2199-Apr-07 23:05:00 UTC,0.417,49.929
Saturn Jupiter ,2199, 2199-Oct-16 20:25:00 UTC,2.193,121.338
Saturn Jupiter ,2219, 2219-Oct-31 22:21:00 UTC,1.206,7.28
Saturn Jupiter ,2238, 2238-Sep-07 13:32:00 UTC,0.657,68.07
Saturn Jupiter ,2239, 2239-Jan-13 09:20:00 UTC,0.794,160.915
Saturn Jupiter ,2239, 2239-Mar-23 04:44:00 UTC,0.754,89.746
Saturn Jupiter ,2259, 2259-Feb-03 03:01:00 UTC,0.556,19.588
Saturn Jupiter ,2279, 2279-Feb-06 09:21:00 UTC,1.16,81.232
Saturn Jupiter ,2279, 2279-May-06 22:15:00 UTC,1.229,171.94
Saturn Jupiter ,2279, 2279-Aug-31 17:17:00 UTC,1.253,72.991
Saturn Jupiter ,2298, 2298-Jul-12 18:49:00 UTC,0.47,5.992
Saturn Jupiter ,2318, 2318-Apr-27 07:00:00 UTC,0.695,52.187
Saturn Jupiter ,2318, 2318-Nov-01 17:46:00 UTC,2.043,122.075
Saturn Jupiter ,2338, 2338-Dec-02 05:10:00 UTC,1.109,7.535
Saturn Jupiter ,2357, 2357-Nov-18 00:35:00 UTC,0.89,119.361
Saturn Jupiter ,2358, 2358-May-23 05:33:00 UTC,0.308,50.685
Saturn Jupiter ,2378, 2378-Feb-18 23:06:00 UTC,0.821,19.143
Saturn Jupiter ,2398, 2398-Apr-01 23:52:00 UTC,1.087,120.52
Saturn Jupiter ,2398, 2398-Oct-02 23:19:00 UTC,1.111,57.712
Saturn Jupiter ,2417, 2417-Aug-24 16:20:00 UTC,0.09,26.544
Saturn Jupiter ,2418, 2418-Apr-01 20:30:00 UTC,3.688,112.783
Saturn Jupiter ,2437, 2437-May-11 09:13:00 UTC,0.922,51.467
Saturn Jupiter ,2437, 2437-Nov-16 12:40:00 UTC,2.282,121.803
Saturn Jupiter ,2457, 2457-Dec-24 12:23:00 UTC,0.948,15.297
Saturn Jupiter ,2476, 2476-Nov-27 14:20:00 UTC,3.692,112.77
Saturn Jupiter ,2477, 2477-Jul-06 20:04:00 UTC,0.105,27.151
Saturn Jupiter ,2497, 2497-Mar-04 13:28:00 UTC,1.03,19.931
Saturn Jupiter ,2517, 2517-Apr-17 03:50:00 UTC,1.453,120.963
Saturn Jupiter ,2517, 2517-Oct-24 23:15:00 UTC,0.915,51.136
Saturn Jupiter ,2536, 2536-Oct-08 02:56:00 UTC,0.284,49.823
Saturn Jupiter ,2537, 2537-Apr-11 20:21:00 UTC,0.664,119.879
Saturn Jupiter ,2556, 2556-May-27 04:49:00 UTC,1.089,51.062
Saturn Jupiter ,2556, 2556-Dec-02 11:30:00 UTC,2.414,121.548
Saturn Jupiter ,2577, 2577-Jan-12 18:24:00 UTC,0.733,19.799
Saturn Jupiter ,2596, 2596-Aug-19 04:34:00 UTC,0.479,5.837
Saturn Jupiter ,2616, 2616-Mar-23 03:47:00 UTC,1.171,18.56
Saturn Jupiter ,2636, 2636-May-01 06:43:00 UTC,1.925,120.332
Saturn Jupiter ,2636, 2636-Nov-12 20:27:00 UTC,0.669,47.186
Saturn Jupiter ,2655, 2655-Dec-09 07:14:00 UTC,0.634,91.073
Saturn Jupiter ,2656, 2656-Feb-08 14:21:00 UTC,0.619,154.68
Saturn Jupiter ,2656, 2656-Jun-29 04:03:00 UTC,0.669,62.818
Saturn Jupiter ,2675, 2675-Jun-18 21:48:00 UTC,1.183,55.13
Saturn Jupiter ,2675, 2675-Dec-18 14:15:00 UTC,1.935,122.704
Saturn Jupiter ,2696, 2696-Feb-01 20:01:00 UTC,0.47,24.044
Saturn Jupiter ,2715, 2715-Oct-07 01:47:00 UTC,0.799,19.272
Saturn Jupiter ,2735, 2735-Apr-17 18:47:00 UTC,1.222,11.956
